tau_vis_px,tau_vis_py,tau_vis_pz,tau_vis_e,met_px,met_py
64.83424,-51.369804,-24.75165,87.1722,205.73755,-55.169193
-77.257904,-37.03392,20.071733,89.70988,-214.22693,-110.62854
79.453384,-10.866399,193.64285,210.34612,-166.1327,534.7495
-274.57257,-258.882,-233.8634,448.58112,-114.237595,-58.60843
-24.192593,105.3158,-160.5237,193.68773,114.893524,132.1729
49.75224,74.330414,-709.0948,714.7691,20.321987,194.94711
-384.14023,86.63418,-203.01045,444.07773,-127.80179,38.80509
-450.03973,-142.70609,149.02151,495.9693,3.6555488,-130.17761
-102.32231,85.97013,-75.09342,153.49178,150.00294,-237.57559
79.35582,-34.66208,-451.7044,460.102,194.76149,-326.11633
-250.30219,16.450926,1139.5132,1167.1094,-96.05696,113.75247
-215.46469,133.85095,1255.4005,1280.8188,-253.20482,37.316544
28.826189,88.43898,-173.19734,197.78406,131.31752,-30.306345
129.49472,72.06733,-233.64711,277.93686,-130.98305,-64.725075
-110.39193,152.35403,167.50272,252.46483,139.28004,-13.064652
74.6768,-48.22311,24.44018,93.98595,-129.6369,321.77866
109.85432,-5.6499715,-127.3347,170.98386,104.58135,-64.89861
62.316475,-83.60802,-32.378677,110.676575,40.588055,144.56561
-130.74345,40.913704,-26.581835,140.55226,-234.32396,-278.8256
-84.90112,63.506203,83.99112,135.59583,31.974115,153.31902
5.789337,-106.597885,79.86568,133.76074,32.97244,-181.357
-99.97688,-113.01224,-116.98634,191.7171,-72.307274,-151.65024
36.998272,107.806946,-88.368126,146.29472,-232.44214,-52.396523
-138.42915,419.28778,-652.38116,788.7109,-38.174496,175.03113
84.95942,171.94994,214.01033,288.51114,156.49971,116.30091
-278.4092,-134.46184,-139.42682,341.0555,186.70616,-23.409208
188.7064,-8.768326,225.8136,294.9509,118.27962,-287.62643
-386.1365,126.459854,-304.74374,509.32513,201.17575,266.44537
71.29883,39.415573,794.401,798.58704,108.77564,68.91276
-3.6672812,-105.56282,40.19119,114.24507,88.89238,100.621475
-431.74368,439.54312,778.9785,993.88336,226.6157,-211.66983
-118.264175,-137.89456,-342.4933,389.31464,-133.13646,-105.182915
79.514046,14.27535,-20.625443,83.92728,-164.10262,137.35591
-76.73003,-119.66689,-6.827796,143.68167,-90.319595,-90.77398
-42.98596,151.37997,-1636.9358,1644.5775,-104.42143,144.33894
-117.78276,20.91747,-77.9501,143.40004,-198.859,-92.69295
3.78547,-526.355,-6.2634015,532.51,53.40334,-168.79242
119.44608,11.811113,-151.38284,193.59103,225.1655,71.77962
-89.54381,-19.548473,-132.53299,161.80832,158.8945,-41.43427
488.00284,10.500045,-258.27884,554.4484,122.69639,255.25197
-127.33154,12.824686,-254.62741,285.41168,20.772774,-122.4901
82.42462,-103.71468,-19.336927,134.75816,-222.74207,124.460175
-111.53612,71.22975,225.51334,262.28854,123.841324,18.094358
-170.34566,270.5324,-395.67218,514.3542,-86.088356,117.315025
55.926487,62.79045,-161.30853,182.68636,123.71543,-25.0226
51.45186,113.54777,-1162.3799,1169.1488,-70.283295,255.71194
-130.80173,-25.489273,1235.3115,1242.5787,59.53562,-231.01411
-72.0383,-219.1592,292.06857,377.78464,-67.73328,-227.45296
-18.903662,-88.096664,290.1802,303.89523,-169.91861,-85.61639
101.01962,99.094055,392.26422,417.17447,33.429813,-210.06546
238.4931,-217.30553,632.9519,712.7789,114.94562,53.581806
22.062254,94.40899,-129.05223,161.9467,-93.481125,189.0662
548.90436,306.96634,-1119.1483,1284.3138,101.70468,99.312874
67.86188,141.4458,-13.494006,158.70323,-75.93088,-223.06018
137.25354,22.596155,128.9734,190.1492,-201.26457,75.77059
-23.38068,78.39859,56.797054,99.81176,-55.941227,108.65171
