tau_vis_px,tau_vis_py,tau_vis_pz,tau_vis_e,met_px,met_py
-293.3671,-411.55505,-810.85944,955.47626,282.43805,414.81512
-81.22868,236.99835,21.352049,251.44106,56.862255,-206.1645
-98.3351,283.7616,-88.56958,313.10733,81.64217,-275.07187
40.07945,424.142,-155.41563,453.50302,-43.498047,-419.4975
-99.553734,-130.54524,252.4133,301.10843,93.92597,116.88723
304.4942,-202.41132,-26.803104,375.64285,-299.42673,205.46864
137.15987,54.08863,48.24158,155.13118,-135.51709,-50.94323
161.79065,346.44122,480.1329,613.78076,-142.77931,-345.45364
146.07953,103.94137,-497.30298,528.6334,-126.44109,-103.04303
-119.31577,-127.648026,128.60286,216.95724,119.30411,125.02259
-243.42345,-359.84677,-141.71541,456.98117,243.20122,358.77246
97.6671,-292.97284,631.0493,702.5649,-146.08273,457.49573
-330.54105,86.42535,-1267.0393,1312.2946,325.4292,-80.05352
338.148,-100.242424,59.838917,357.7379,-326.23203,113.96421
1.6065634,244.76437,-52.161247,250.26804,-1.7788683,-227.41856
410.78912,27.853163,-431.95724,596.7673,-430.9042,-37.850334
139.8371,273.57678,142.00798,338.52365,-124.739044,-258.67307
150.04335,382.3791,-588.67365,717.8228,-152.37138,-375.30347
-367.5386,76.5933,89.20794,385.89996,363.88144,-93.5823
229.10175,74.817406,84.98954,255.55927,-208.10425,-67.79451
243.67216,-84.058685,8.384106,257.9087,-241.67143,84.750946
244.6869,92.0087,-221.16327,342.4281,-268.0446,-94.79556
-390.34808,-56.176723,485.10474,625.2018,388.5531,55.397472
357.39728,-180.80371,-370.20825,545.57336,-344.69772,171.51936
-312.83398,-161.03473,468.39093,585.82623,309.16193,125.33572
-375.2457,-49.417374,1187.5662,1246.4219,360.28983,50.257668
241.88725,-308.8323,-289.15442,487.46426,-234.58641,298.80975
-241.83507,-333.57925,-934.8915,1021.6567,241.53381,318.02505
-101.03288,359.1495,388.35437,538.5679,111.88507,-343.7624
-337.5311,309.83893,53.02248,461.64804,332.143,-308.7879
-59.728127,110.82038,250.8795,280.7822,76.39245,-111.21273
-76.84002,-155.89561,63.954372,185.19766,73.390854,164.75179
352.03204,10.122205,-383.46103,520.7092,-353.28146,-11.57859
-348.42197,-344.81863,153.79745,513.8479,349.8637,336.89615
-193.35654,107.66876,647.7466,684.53345,194.4104,-117.04684
-362.859,216.0729,-420.46832,595.947,349.3112,-206.70267
17.265007,269.2255,216.53987,345.93622,-7.630242,-262.77353
-33.02895,-138.32552,308.60266,339.8556,43.3259,137.06657
102.08667,22.065086,376.457,390.70312,-1.8250207,142.60757
-157.57196,-390.8099,-158.3611,452.37982,154.21962,397.21292
-390.5204,-115.07889,-207.42033,456.92178,380.02713,109.287346
231.81818,2.7137408,-168.42958,286.55817,-250.58797,-5.5389266
152.38843,31.685799,21.826794,157.17381,-132.91515,-34.426693
234.1742,68.62784,322.9412,404.93533,-234.96483,-56.239162
-48.38413,-380.92868,-1236.619,1294.8854,27.701288,377.6441
-353.3513,181.56058,-931.6559,1012.82104,344.83643,-153.20424
194.7481,401.20834,-146.52722,469.43073,-192.14883,-395.80823
-262.87927,203.94829,-152.55354,366.02676,263.7782,-225.81927
154.68196,-5.528017,162.897,224.70967,-143.76862,14.534088
-161.29298,-210.47922,173.98462,319.9167,160.25279,219.1743
-153.86133,297.16724,1210.84,1256.5583,158.99821,-310.389
-168.52893,-383.8868,-434.07648,603.4891,163.61124,377.37137
-296.0773,-234.34932,-8.389174,377.6927,297.0957,237.03838
1.5265645,133.28656,-645.0716,658.7017,-2.4455419,-125.56427
228.69952,53.83255,35.17529,237.57367,-223.66069,-54.706642
-63.82497,-152.44057,-13.140853,166.44069,56.533607,151.04155
85.953995,-119.7944,501.66125,522.8799,-85.106544,118.129135
172.72408,109.4361,154.94917,256.5545,-171.34409,-104.60856
-199.53804,-61.006805,240.82877,318.72098,203.41446,50.028805
-302.0672,-15.358877,-220.49203,374.29565,284.20944,8.914845
368.7144,-201.6603,40.520706,422.2096,-357.53802,210.0442
-27.99846,-235.02917,-372.13647,441.03217,6.0671735,237.63216
201.89162,-195.24413,-145.08087,316.1168,-156.30069,177.08133
-288.94717,-386.62897,66.490814,487.2884,303.36133,382.01443
346.5317,268.34277,-540.40515,695.79626,-348.973,-266.93454
-374.75208,27.015467,445.07812,582.5161,394.51288,-62.734013
81.73304,-251.05164,854.6153,894.4698,-88.82901,261.78674
79.42923,319.3727,290.92374,439.25964,-45.72998,-303.83566
-314.02896,67.0575,422.83276,530.94257,298.91687,-72.30087
-222.52563,-148.34169,-199.06761,333.39294,222.6899,146.47076
110.939804,235.5119,26.301588,261.68372,-115.3487,-234.87239
-144.5188,-2.8999841,375.54413,402.40707,143.24657,12.429114
-191.36937,-93.06674,-665.73376,698.9184,194.4776,89.75093
338.82837,187.92087,960.5734,1035.7874,-348.7711,-191.18356
-184.44997,-25.446815,57.52881,194.88211,178.65161,36.44969
143.77843,64.73665,220.64449,271.19583,-146.37524,-57.98318
39.89005,-335.01624,-330.22818,472.09933,-29.420631,307.39587
154.46242,-120.27749,17.570715,196.5555,-145.88725,112.681
93.67999,103.638016,-171.51987,221.2145,-105.09481,-94.09351
-168.1361,75.66359,42.453796,189.75522,155.7567,-95.858955
-217.54895,173.74886,-26.565771,279.68515,220.9719,-159.11356
-39.88391,-213.66364,85.03854,233.39763,23.870604,210.88423
386.10046,113.48537,32.09842,403.7148,-382.31476,-116.472595
337.96893,-15.710744,-121.75783,359.57654,-357.40082,32.10977
68.82327,123.863594,-201.4301,246.27817,-76.11436,-118.70086
-271.69443,-147.59764,-185.60252,360.6768,280.61874,147.43602
214.61835,51.661453,132.49452,257.4794,-197.09114,-47.47691
57.62837,148.09895,-250.61615,296.7557,-43.908016,-169.68471
162.11194,106.49682,195.98239,275.74036,-158.38133,-89.45903
109.30166,-47.406727,-233.9238,262.51813,-116.61887,46.06848
-67.68996,151.954,6.448293,166.47986,65.30115,-170.7581
3.3566096,348.03696,-486.35657,598.0816,-2.2181616,-341.09808
