gentau_vis_px,gentau_vis_py,gentau_vis_pz,gentau_vis_e,genmet_px,genmet_py,boson_mass
73.826965,97.6593,114.807625,167.83495,-71.218864,-97.905334,1002.98895
46.848396,110.50277,-246.83716,274.47083,-71.75101,-132.361,624.8739
217.54341,-118.655495,-522.4872,578.2708,-317.5479,191.71655,1038.0371
273.1955,56.4236,-57.42174,284.80988,198.09756,76.22945,81.164024
-2.943021,-132.15175,-100.29343,165.92625,-88.13647,137.3526,968.3779
54.01167,111.46286,-442.3654,459.37827,-119.772766,-230.36914,979.8138
126.20388,226.68187,63.49264,267.1019,-137.77919,-244.1871,989.8964
-273.67288,9.960951,366.17892,457.25604,273.2003,-13.474102,1011.3055
-84.518555,-82.44848,-13.667201,118.86199,91.4068,343.18985,1030.7418
186.89659,-95.52009,-809.92975,836.6843,342.14255,-94.01755,79.82794
-350.93845,9.426978,-16.357573,351.44595,380.05292,-14.5083475,1082.045
145.34328,34.95378,-307.92413,342.29187,-346.33545,-76.51831,905.7319
-17.767778,202.4647,160.95212,259.2552,15.2382345,-381.29834,1000.6761
57.824924,64.80231,-105.64844,136.76585,-199.42108,-236.402,907.8266
-123.13998,41.55557,-5.974328,130.10008,148.37381,-56.24617,1004.81464
26.149525,-160.00587,-60.28466,172.97382,-40.18129,245.04202,1006.0901
169.19913,342.47134,-665.776,767.5758,-193.33855,-410.61084,983.6226
75.77533,39.900368,170.10558,190.4465,-296.414,-281.60428,994.95844
-136.18648,-34.189888,132.68306,193.1852,228.38751,42.817947,1008.5351
111.28588,-295.0848,-22.346996,316.16293,-106.198875,297.69327,1011.9996
-202.7765,89.32719,-67.99311,231.77736,218.9295,-104.94175,1009.28906
-132.9416,39.251858,-95.69314,168.43799,-1255.9832,544.32404,84.544
-89.143875,159.92265,-652.5961,677.79315,117.63318,-210.15184,989.6539
19.958649,-328.86426,-152.29506,362.96533,-39.2591,423.87128,907.9052
-178.50479,-176.73663,79.15775,263.37424,244.69946,231.83156,1150.2902
-127.54932,-413.7605,164.80685,463.2795,97.457726,412.77557,986.7362
81.44188,76.751625,-430.29886,444.61298,-263.03546,-246.21556,816.2968
213.0006,-330.31677,-68.79361,399.01254,-212.01741,332.80624,899.05237
132.39854,-66.3045,180.70152,233.62085,339.3105,-29.51184,84.4397
-49.15034,-270.92963,923.6243,963.79486,67.98641,402.611,977.8276
-228.01572,-78.59811,-54.76195,247.32109,234.42863,87.52819,993.74066
53.216496,-457.5492,-83.7865,468.19168,-67.15093,465.29617,968.1946
7.1600657,-87.34666,11.836079,88.43539,-16.91379,468.71033,965.036
220.2644,-88.9207,192.82483,305.9489,-199.97438,91.95036,945.3768
208.30869,-208.62485,-551.9311,625.7354,-107.60805,452.9615,920.6644
142.2598,56.918728,36.629837,157.54153,444.06494,216.92871,79.4028
228.32372,282.50668,401.4459,541.38763,-236.10915,-284.98822,1026.8632
-148.7302,-97.437,41.45718,182.57425,193.73375,130.24802,984.44696
-71.8078,194.13712,-134.06642,246.6159,71.81282,-226.94388,996.4834
53.883224,94.62333,207.59644,234.42116,-144.87341,-264.8141,812.0814
-32.984184,-76.72363,191.72974,209.12862,100.315186,215.56227,1020.8873
-76.05686,42.28599,108.13892,138.80489,216.65326,-119.47617,1034.609
-57.778637,72.19142,-270.8242,286.17432,99.42495,-121.23498,929.06335
288.1148,274.6857,-26.602022,398.96124,-308.50085,-234.40779,1020.16833
131.18375,-37.151653,-75.58868,155.89449,-215.27585,63.351387,1002.42065
92.75848,-23.995626,116.61555,150.92757,-143.03421,13.694927,994.6712
-21.538486,239.59839,230.03113,332.84476,35.03028,-297.83347,972.88715
255.67671,268.6382,-78.04531,378.98306,-263.03146,-303.39127,1027.97
-59.572697,-144.57559,-368.31613,400.13474,67.590195,131.31987,983.1611
-306.02966,163.60158,845.90405,914.31573,333.3083,-174.34485,1002.1133
1.2547215,-228.99088,-29.063057,230.83127,-26.71015,432.446,971.91986
212.8372,349.4717,636.37396,756.5725,143.21611,132.71414,80.09174
99.784996,-2.8771338,-170.82747,197.85693,-293.7451,-0.33859023,956.0505
-76.880646,198.69556,119.70648,244.37721,60.965256,-226.7335,1015.3511
145.54984,-23.12925,55.106243,157.34177,-147.27565,21.524893,1025.1434
316.1807,61.275913,453.9783,556.61597,-325.25558,-57.348656,986.5191
272.28317,97.474785,-120.12448,313.1603,-352.86063,-121.51158,1008.2683
-193.25485,417.42438,138.21101,480.30496,205.74011,-379.61868,970.7683
382.15305,-28.599201,-1614.0419,1658.9124,-408.59457,20.662256,1002.2834
149.6204,6.850735,130.20195,198.45842,-231.26382,-34.825226,1017.7222
65.94262,-380.1319,222.55496,445.398,260.55447,-835.7668,80.847466
244.07417,-42.32616,352.852,431.12442,-383.81628,53.892246,1015.8143
-78.30386,62.13175,-89.12181,133.91992,319.37485,-130.32272,1004.8425
217.46043,14.281468,-157.55997,268.92032,224.06415,85.2523,80.033394
-88.48974,-102.50546,-48.307533,143.77567,132.94862,157.37523,1010.9636
-36.999577,71.50897,66.07749,104.157364,109.16801,-272.0679,1014.32355
1.3973569,82.29553,-59.444225,101.52903,-11.923507,-330.38492,957.6299
-30.294518,79.460144,-21.052477,87.6065,94.34407,-251.04851,999.5758
-109.739426,-319.4445,-278.61935,437.8542,97.19912,302.38428,904.50854
-192.02336,-22.200264,-18.762415,194.21089,319.1232,24.168709,999.5034
-109.52445,-34.485672,149.49867,188.50656,146.37035,179.61583,1013.90234
265.7481,-8.392412,-130.83688,296.3289,-281.94424,-9.731351,1012.1539
-138.82922,225.6753,-41.22689,268.14655,187.72754,-266.50952,980.84894
114.70007,-192.74968,133.3373,260.93558,30.260767,122.44978,1120.6443
42.574116,-123.88766,-72.72866,149.83379,258.85007,-419.2174,80.94385
328.96426,129.50302,-91.1632,365.10175,-346.0384,-113.51857,986.8448
102.33193,395.69745,-682.41284,795.44684,-113.15997,-441.6974,1031.1361
353.5042,22.583467,198.23032,405.91934,-355.54376,-32.331436,1049.9585
-70.50348,-119.95894,-60.267445,151.63466,102.18874,196.9063,986.84735
4.784823,187.97737,86.503006,206.98111,-2.1004345,-225.81972,1006.5584
-27.48832,77.666855,153.32112,174.05498,114.26219,-244.58269,938.372
-223.14227,-159.15019,-61.44357,280.88535,360.80878,202.86903,996.74384
-260.83997,327.44818,-576.1286,712.1685,313.57352,-376.62485,1016.22046
-90.95175,-232.98839,84.66085,264.05167,158.07033,302.91522,996.99475
151.09206,68.95394,84.80247,186.48097,40.27621,-194.99336,996.1743
80.6697,-54.255814,18.465776,98.95604,-105.74692,58.80232,920.70465
306.9153,201.26465,248.52747,443.24982,-357.16275,-247.8168,950.6329
-3.9722438,94.52881,-75.71978,121.18159,18.681177,-142.5636,1114.3079
-139.43146,-154.8123,-16.094252,208.96657,145.6205,165.2023,1013.9507
-108.65966,-73.705025,74.74585,151.0838,278.99573,182.68782,985.24554
236.28377,-137.48488,327.1474,426.33032,-255.03172,152.4859,1186.5088
-45.158234,-82.317505,120.981186,153.14009,232.22195,401.16452,1052.036
-91.5039,-118.55595,497.5354,519.58636,118.62463,163.63014,1016.34796
-126.2123,-107.17847,258.64105,307.10257,128.86304,109.0363,1003.25134
94.59759,274.41876,-302.53366,419.26245,-128.96973,-291.65213,1007.92816
-320.09848,87.50143,50.31092,335.63483,362.2975,-54.72671,1036.9506
-181.98914,-28.816374,230.24522,294.8954,266.41275,78.98277,1058.51
-44.884823,-82.528465,57.69508,110.24662,126.524506,162.5627,915.84894
81.37217,-119.36591,77.95619,164.15486,63.5248,390.52463,1123.2225
-162.82822,176.19861,191.43022,306.92755,160.46017,-171.14346,583.1039
25.106539,126.20017,-150.53217,198.03226,-53.948936,-169.5225,1014.45056
-216.14444,52.279984,267.3222,347.72516,202.83858,-35.654564,1006.6656
30.830135,277.09888,12.814524,279.10306,-20.05823,-329.75967,923.2707
-14.195194,-246.33836,239.2734,343.709,17.086617,247.58842,952.977
196.27232,272.45486,-304.33694,453.18372,-210.39268,-307.7226,1039.9976
1.5757946,152.89542,419.42902,446.4308,-3.8531518,-375.9997,1012.9168
118.87136,-234.25523,234.047,351.8294,-114.82924,268.6281,957.87305
-198.0531,-148.84334,313.83014,399.8359,200.21278,144.72707,1016.185
